source_ticker,source_cik,source_name,relation_type,related_name,related_ticker,filing_date,filing_accession,collected_at
UEIC,0000101984,UNIVERSAL ELECTRONICS INC,customer,LG Electronics,066570,2026-03-12,0000101984-26-000039,2026-09-02T07:58:39.440736+00:00
IDN,0001040896,"Intellicheck, Inc.",customer,Intelligence Agencies,,2026-03-19,0001040896-26-000009,2026-09-03T00:19:25.878574+00:00
IDN,0001040896,"Intellicheck, Inc.",supplier,Apple,AAPL,2026-03-19,0001040896-26-000009,2026-09-03T00:19:25.878574+00:00
IPM,0001355839,INTELLIGENT PROTECTION MANAGEMENT CORP.,customer,Hewlett Packard Enterprise,HPE,2026-03-17,0001213900-26-029095,2026-09-03T02:12:25.843133+00:00
PRSO,0000890394,Peraso Inc.,supplier,Taiwan Semiconductor Manufacturing Corporation (TSMC),,2026-03-30,0001213900-26-036514,2026-09-03T02:49:48.176998+00:00
NVDA,0001045810,NVIDIA CORP,supplier,Taiwan Semiconductor Manufacturing Company Limited,TSM,2026-02-25,0001045810-26-000021,2026-09-04T17:25:45.565210+00:00
NVDA,0001045810,NVIDIA CORP,supplier,"Samsung Electronics Co., Ltd.",005930,2026-02-25,0001045810-26-000021,2026-09-04T17:25:45.565210+00:00
NVDA,0001045810,NVIDIA CORP,supplier,SK Hynix Inc.,SKHY,2026-02-25,0001045810-26-000021,2026-09-04T17:25:45.565210+00:00
NVDA,0001045810,NVIDIA CORP,supplier,"Micron Technology, Inc.",MU,2026-02-25,0001045810-26-000021,2026-09-04T17:25:45.565210+00:00
NVDA,0001045810,NVIDIA CORP,supplier,"Hon Hai Precision Industry Co., Ltd.",2317,2026-02-25,0001045810-26-000021,2026-09-04T17:25:45.565210+00:00
NVDA,0001045810,NVIDIA CORP,supplier,Wistron Corporation,3231,2026-02-25,0001045810-26-000021,2026-09-04T17:25:45.565210+00:00
NVDA,0001045810,NVIDIA CORP,supplier,Fabrinet,FN,2026-02-25,0001045810-26-000021,2026-09-04T17:25:45.565210+00:00
AVGO,0001730168,Broadcom Inc.,customer,companies with AI frontier models,,2025-12-18,0001730168-25-000121,2026-09-04T17:25:45.922617+00:00
AVGO,0001730168,Broadcom Inc.,customer,original equipment manufacturers (OEMs),,2025-12-18,0001730168-25-000121,2026-09-04T17:25:45.922617+00:00
AVGO,0001730168,Broadcom Inc.,customer,Fortune 500,,2025-12-18,0001730168-25-000121,2026-09-04T17:25:45.922617+00:00
AVGO,0001730168,Broadcom Inc.,supplier,Taiwan Semiconductor Manufacturing Company Limited (TSMC),,2025-12-18,0001730168-25-000121,2026-09-04T17:25:45.922617+00:00
AVGO,0001730168,Broadcom Inc.,supplier,"Advanced Semiconductor Engineering, Inc.",,2025-12-18,0001730168-25-000121,2026-09-04T17:25:45.922617+00:00
AVGO,0001730168,Broadcom Inc.,supplier,Foxconn Technology Group,2354,2025-12-18,0001730168-25-000121,2026-09-04T17:25:45.922617+00:00
AVGO,0001730168,Broadcom Inc.,supplier,"Amkor Technology, Inc.",AMKR,2025-12-18,0001730168-25-000121,2026-09-04T17:25:45.922617+00:00
AVGO,0001730168,Broadcom Inc.,supplier,"Siliconware Precision Industries Co., Ltd.",,2025-12-18,0001730168-25-000121,2026-09-04T17:25:45.922617+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,customer,original equipment manufacturers (OEMs),,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,customer,original design manufacturers (ODMs),,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,customer,PC OEMs,,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,customer,add-in-board manufacturers (AIBs),,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,customer,contract manufacturers for AMD branded graphics cards,,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,customer,"OpenAI OpCo, LLC",,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,supplier,Taiwan Semiconductor Manufacturing Company Limited (TSMC),,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,supplier,GLOBALFOUNDRIES Inc. (GF),,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,supplier,United Microelectronics Corporation (UMC),,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,supplier,"Samsung Electronics Co., Ltd.",005930,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,supplier,"Tongfu Microelectronics Co., Ltd.",,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,supplier,Siliconware Precision Industries Ltd. (SPIL),,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
AMD,0000002488,ADVANCED MICRO DEVICES INC,supplier,King Yuan Electronics Company (KYEC),,2026-02-04,0000002488-26-000018,2026-09-04T17:25:46.807269+00:00
INTC,0000050863,INTEL CORP,supplier,ASML,ASML,2026-01-23,0000050863-26-000011,2026-09-04T17:25:47.587474+00:00
LRCX,0000707549,LAM RESEARCH CORP,customer,"Micron Technology, Inc.",MU,2026-08-07,0000707549-26-000037,2026-09-04T17:25:48.947351+00:00
LRCX,0000707549,LAM RESEARCH CORP,customer,"Samsung Electronics Company, Ltd.",005930,2026-08-07,0000707549-26-000037,2026-09-04T17:25:48.947351+00:00
LRCX,0000707549,LAM RESEARCH CORP,customer,SK hynix Inc.,SKHY,2026-08-07,0000707549-26-000037,2026-09-04T17:25:48.947351+00:00
LRCX,0000707549,LAM RESEARCH CORP,customer,Taiwan Semiconductor Manufacturing Company,TSM,2026-08-07,0000707549-26-000037,2026-09-04T17:25:48.947351+00:00
DELL,0001571996,Dell Technologies Inc.,customer,Microsoft Corporation,MSFT,2026-03-16,0001571996-26-000008,2026-09-04T17:25:53.212087+00:00
DELL,0001571996,Dell Technologies Inc.,customer,Apple Inc.,AAPL,2026-03-16,0001571996-26-000008,2026-09-04T17:25:53.212087+00:00
DELL,0001571996,Dell Technologies Inc.,supplier,Intel Corporation,INTC,2026-03-16,0001571996-26-000008,2026-09-04T17:25:53.212087+00:00
DELL,0001571996,Dell Technologies Inc.,supplier,Seagate Technology,STX,2026-03-16,0001571996-26-000008,2026-09-04T17:25:53.212087+00:00
DELL,0001571996,Dell Technologies Inc.,supplier,Western Digital Corporation,WDC,2026-03-16,0001571996-26-000008,2026-09-04T17:25:53.212087+00:00
DELL,0001571996,Dell Technologies Inc.,supplier,SK Hynix Inc.,SKHY,2026-03-16,0001571996-26-000008,2026-09-04T17:25:53.212087+00:00
SNDK,0002023554,Sandisk Corp,supplier,Kioxia,285A,2026-08-17,0001628280-26-057406,2026-09-04T17:25:54.882867+00:00
KLAC,0000319201,KLA CORP,customer,Taiwan Semiconductor Manufacturing Company Limited,TSM,2026-08-06,0000319201-26-000027,2026-09-04T17:25:56.152501+00:00
TXN,0000097476,TEXAS INSTRUMENTS INC,customer,Electronics designers and manufacturers worldwide,,2026-02-06,0000097476-26-000059,2026-09-04T17:25:56.157479+00:00
TXN,0000097476,TEXAS INSTRUMENTS INC,supplier,Suppliers of semiconductor manufacturing equipment and materials,,2026-02-06,0000097476-26-000059,2026-09-04T17:25:56.157479+00:00
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,customer,Apple,AAPL,2026-02-24,0000051143-26-000010,2026-09-04T17:25:57.744664+00:00
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,customer,Cisco Systems,CSCO,2026-02-24,0000051143-26-000010,2026-09-04T17:25:57.744664+00:00
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,customer,Hewlett-Packard Enterprise Group,HPE,2026-02-24,0000051143-26-000010,2026-09-04T17:25:57.744664+00:00
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,supplier,Taiwan Semiconductor Manufacturing Company,TSM,2026-02-24,0000051143-26-000010,2026-09-04T17:25:57.744664+00:00
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,supplier,Intel Corporation,INTC,2026-02-24,0000051143-26-000010,2026-09-04T17:25:57.744664+00:00
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,supplier,"Micron Technology, Inc.",MU,2026-02-24,0000051143-26-000010,2026-09-04T17:25:57.744664+00:00
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,supplier,SK Hynix Inc.,SKHY,2026-02-24,0000051143-26-000010,2026-09-04T17:25:57.744664+00:00
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,supplier,Western Digital Corporation,WDC,2026-02-24,0000051143-26-000010,2026-09-04T17:25:57.744664+00:00
ADI,0000006281,ANALOG DEVICES INC,supplier,Taiwan Semiconductor Manufacturing Company,TSM,2025-11-25,0000006281-25-000153,2026-09-04T17:26:05.185263+00:00
FTNT,0001262039,"Fortinet, Inc.",customer,"Cisco Systems, Inc.",CSCO,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
FTNT,0001262039,"Fortinet, Inc.",customer,Microsoft Corporation,MSFT,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
FTNT,0001262039,"Fortinet, Inc.",customer,Hewlett-Packard Enterprise,HPE,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
FTNT,0001262039,"Fortinet, Inc.",customer,Dell Technologies Inc.,DELL,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
FTNT,0001262039,"Fortinet, Inc.",supplier,Taiwan Semiconductor Manufacturing Company Limited,TSM,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
FTNT,0001262039,"Fortinet, Inc.",supplier,Intel Corporation,INTC,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
FTNT,0001262039,"Fortinet, Inc.",supplier,"Advanced Micro Devices, Inc.",AMD,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
FTNT,0001262039,"Fortinet, Inc.",supplier,Broadcom Inc.,AVGO,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
FTNT,0001262039,"Fortinet, Inc.",supplier,Marvell Technology Group Ltd.,MRVL,2026-02-25,0001262039-26-000007,2026-09-04T17:26:18.817206+00:00
CDNS,0000813672,CADENCE DESIGN SYSTEMS INC,customer,Taiwan Semiconductor Manufacturing Company,TSM,2026-02-19,0000813672-26-000016,2026-09-04T17:26:58.501993+00:00
CDNS,0000813672,CADENCE DESIGN SYSTEMS INC,customer,Walmart,WMT,2026-02-19,0000813672-26-000016,2026-09-04T17:26:58.501993+00:00
TER,0000097210,"TERADYNE, INC",customer,Taiwan Semiconductor Manufacturing Company,TSM,2026-02-19,0001193125-26-059002,2026-09-04T17:28:29.926080+00:00
TER,0000097210,"TERADYNE, INC",customer,Walmart,WMT,2026-02-19,0001193125-26-059002,2026-09-04T17:28:29.926080+00:00
CRWV,0001769628,"CoreWeave, Inc.",customer,Microsoft,MSFT,2026-03-02,0001769628-26-000104,2026-09-04T17:29:46.703016+00:00
CRWV,0001769628,"CoreWeave, Inc.",supplier,NVIDIA,NVDA,2026-03-02,0001769628-26-000104,2026-09-04T17:29:46.703016+00:00
CRWV,0001769628,"CoreWeave, Inc.",supplier,Taiwan Semiconductor Manufacturing Company,TSM,2026-03-02,0001769628-26-000104,2026-09-04T17:29:46.703016+00:00
CRWV,0001769628,"CoreWeave, Inc.",supplier,Intel,INTC,2026-03-02,0001769628-26-000104,2026-09-04T17:29:46.703016+00:00
NTAP,0001002047,"NetApp, Inc.",supplier,Taiwan Semiconductor Manufacturing Company,TSM,2026-06-05,0001193125-26-259683,2026-09-04T17:29:50.955671+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,supplier,Taiwan Semiconductor Manufacturing Corporation,TSM,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,Walmart,WMT,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,Intel Corporation,INTC,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,Apple Inc.,AAPL,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,"Samsung Electronics Co., Ltd.",005930,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,Renesas Electronics Corporation,6723,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,STMicroelectronics N.V.,STM,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,Infineon Technologies AG,IFNNY,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,NXP Semiconductors N.V.,NXPI,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
ON,0001097864,ON SEMICONDUCTOR CORP,customer,Texas Instruments Incorporated,TXN,2026-02-09,0001097864-26-000006,2026-09-04T17:29:58.061731+00:00
Q,0002058873,"Qnity Electronics, Inc.",customer,"Samsung Electronics Co., Ltd.",005930,2026-02-26,0002058873-26-000010,2026-09-04T17:30:03.792218+00:00
Q,0002058873,"Qnity Electronics, Inc.",customer,Taiwan Semiconductor Manufacturing Company Limited,TSM,2026-02-26,0002058873-26-000010,2026-09-04T17:30:03.792218+00:00
ROKU,0001428439,"ROKU, INC",supplier,Taiwan Semiconductor Manufacturing Company,TSM,2026-02-13,0001628280-26-008114,2026-09-04T17:30:07.908011+00:00
ROKU,0001428439,"ROKU, INC",supplier,Apple,AAPL,2026-02-13,0001628280-26-008114,2026-09-04T17:30:07.908011+00:00
ROKU,0001428439,"ROKU, INC",supplier,LG Electronics,066570,2026-02-13,0001628280-26-008114,2026-09-04T17:30:07.908011+00:00
ENTG,0001101302,ENTEGRIS INC,customer,Taiwan Semiconductor Manufacturing Company (TSMC),,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,customer,Intel Corporation,INTC,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,customer,"Samsung Electronics Co., Ltd.",005930,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,customer,SK Hynix Inc.,SKHY,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,customer,"Micron Technology, Inc.",MU,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,supplier,Air Liquide,AI,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,supplier,Linde plc,LIN,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,supplier,Materion,MTRN,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,supplier,Dow Inc.,DOW,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
ENTG,0001101302,ENTEGRIS INC,supplier,BASF,BAS,2026-02-11,0001101302-26-000012,2026-09-04T17:30:13.979066+00:00
LSCC,0000855658,LATTICE SEMICONDUCTOR CORP,customer,Taiwan Semiconductor Manufacturing Company,TSM,2026-02-13,0001437749-26-004100,2026-09-04T17:30:21.554126+00:00
LSCC,0000855658,LATTICE SEMICONDUCTOR CORP,supplier,United Microelectronics Corporation,UMC,2026-02-13,0001437749-26-004100,2026-09-04T17:30:21.554126+00:00
LSCC,0000855658,LATTICE SEMICONDUCTOR CORP,supplier,Samsung Semiconductor,,2026-02-13,0001437749-26-004100,2026-09-04T17:30:21.554126+00:00
AMKR,0001047127,"AMKOR TECHNOLOGY, INC.",customer,Apple,AAPL,2026-02-20,0001047127-26-000014,2026-09-04T17:30:40.945687+00:00
AMKR,0001047127,"AMKOR TECHNOLOGY, INC.",customer,Qualcomm,,2026-02-20,0001047127-26-000014,2026-09-04T17:30:40.945687+00:00
AAOI,0001158114,"APPLIED OPTOELECTRONICS, INC.",customer,Microsoft,MSFT,2026-02-26,0001437749-26-005875,2026-09-04T17:30:58.596309+00:00
BHE,0000863436,BENCHMARK ELECTRONICS INC,customer,"Applied Materials, Inc. and subsidiaries",,2026-02-24,0001193125-26-064849,2026-09-04T17:32:40.087837+00:00
BHE,0000863436,BENCHMARK ELECTRONICS INC,supplier,Taiwan Semiconductor Manufacturing Company,TSM,2026-02-24,0001193125-26-064849,2026-09-04T17:32:40.087837+00:00
